step,mloss,gloss,loss
15600.0,0.3147,0.206,0.5206999999999999
15700.0,0.332,0.2072,0.5392
15800.0,0.3111,0.2089,0.52
15900.0,0.3303,0.2086,0.5388999999999999
16000.0,0.3276,0.2077,0.5353
16100.0,0.3129,0.207,0.5199
16200.0,0.3363,0.2059,0.5422
16300.0,0.3298,0.2081,0.5379
16400.0,0.3287,0.2064,0.5351
16500.0,0.3199,0.2052,0.5251
16600.0,0.3135,0.205,0.5185
16700.0,0.3469,0.2079,0.5548
16800.0,0.3411,0.2069,0.548
16900.0,0.336,0.2059,0.5419
17000.0,0.3399,0.207,0.5468999999999999
17100.0,0.3283,0.2063,0.5346
17200.0,0.3404,0.2061,0.5465
17300.0,0.3173,0.2073,0.5246000000000001
17400.0,0.3371,0.2055,0.5426
17500.0,0.3027,0.2064,0.5091
17600.0,0.3211,0.2058,0.5269
17700.0,0.3306,0.2058,0.5364
17800.0,0.3248,0.207,0.5317999999999999
17900.0,0.3107,0.2046,0.5153
18000.0,0.3218,0.2066,0.5284
18100.0,0.3379,0.2051,0.5429999999999999
18200.0,0.3297,0.2048,0.5345
18300.0,0.3268,0.2069,0.5337
18400.0,0.3161,0.206,0.5221
18500.0,0.3286,0.2054,0.534
18600.0,0.3194,0.2044,0.5238
18700.0,0.3366,0.2065,0.5431
18800.0,0.3183,0.2047,0.523
18900.0,0.3233,0.2061,0.5294
19000.0,0.3253,0.2054,0.5307
19100.0,0.3414,0.2056,0.5469999999999999
19200.0,0.3276,0.206,0.5336
19300.0,0.3187,0.2038,0.5225
19400.0,0.3403,0.2048,0.5451
19500.0,0.3221,0.2053,0.5274
19600.0,0.3299,0.2054,0.5353
19700.0,0.3255,0.2053,0.5308
19800.0,0.3224,0.2042,0.5266
19900.0,0.3195,0.2055,0.525
20000.0,0.3166,0.2074,0.524
