step,mloss,gloss,loss
14900.0,0.0,0.0302,0.0302
15000.0,0.0,0.0299,0.0299
15100.0,0.0,0.0299,0.0299
15200.0,0.0,0.0299,0.0299
15300.0,0.0,0.0298,0.0298
15400.0,0.0,0.0295,0.0295
15500.0,0.0,0.0295,0.0295
15600.0,0.0,0.0294,0.0294
15700.0,0.0,0.0293,0.0293
15800.0,0.0,0.0292,0.0292
15900.0,0.0,0.0292,0.0292
16000.0,0.0,0.0291,0.0291
16100.0,0.0,0.029,0.029
16200.0,0.0,0.029,0.029
16300.0,0.0,0.0289,0.0289
16400.0,0.0,0.0288,0.0288
16500.0,0.0,0.0287,0.0287
16600.0,0.0,0.0287,0.0287
16700.0,0.0,0.0286,0.0286
16800.0,0.0,0.0286,0.0286
16900.0,0.0,0.0285,0.0285
17000.0,0.0,0.0283,0.0283
17100.0,0.0,0.0283,0.0283
17200.0,0.0,0.0282,0.0282
17300.0,0.0,0.0281,0.0281
17400.0,0.0,0.028,0.028
17500.0,0.0,0.0281,0.0281
17600.0,0.0,0.028,0.028
17700.0,0.0,0.028,0.028
17800.0,0.0,0.0278,0.0278
17900.0,0.0,0.0276,0.0276
18000.0,0.0,0.0277,0.0277
18100.0,0.0,0.0276,0.0276
18200.0,0.0,0.0276,0.0276
18300.0,0.0,0.0274,0.0274
18400.0,0.0,0.0275,0.0275
18500.0,0.0,0.0274,0.0274
18600.0,0.0,0.0274,0.0274
18700.0,0.0,0.0273,0.0273
18800.0,0.0,0.0273,0.0273
18900.0,0.0,0.0273,0.0273
19000.0,0.0,0.0272,0.0272
19100.0,0.0,0.0273,0.0273
19200.0,0.0,0.027,0.027
19300.0,0.0,0.0272,0.0272
19400.0,0.0,0.027,0.027
19500.0,0.0,0.027,0.027
19600.0,0.0,0.027,0.027
19700.0,0.0,0.0269,0.0269
19800.0,0.0,0.0268,0.0268
19900.0,0.0,0.0268,0.0268
20000.0,0.0,0.0268,0.0268
